,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,SMA_50,SMA_200,Text,Subjectivity,Polarity,Compound,Negative,Neutral,Positive
0,2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,0.007357233998555035,240.80746679999996,302.94263298,Elon Musk demands months for trial prep in Twitter suit  reports say,0.0,0.0,0.0,0.0,1.0,0.0
1,2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,0.007357233998555035,240.80746679999996,302.94263298,Tesla  Ford  and GMs Plan to Unlock EV Battery Capacity,0.0,0.0,0.0,0.0,1.0,0.0
2,2022-07-15,240.0,243.623337,236.889999,240.066666,240.066666,69683100,0.007357233998555035,240.80746679999996,302.94263298,How U S  Auto Makers Are Fighting for a Piece of the EV Battery Market,0.0,0.0,-0.3612,0.152,0.848,0.0
3,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,UPDATE   Tesla investors should vote against   board members' re election   ISS,0.0,0.0,0.0,0.0,1.0,0.0
4,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Teslas Denholm Says Australia Is Key to Avoid EV Battery Crunch,1.0,0.0,-0.296,0.18,0.82,0.0
5,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla investors should vote against   board members' re election   ISS,0.0,0.0,0.0,0.0,1.0,0.0
6,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,ISS urges Tesla investors to vote against re election of two board members,0.0,0.0,0.0,0.0,1.0,0.0
7,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla EV sales gaining momentum in Australia   chair,0.0,0.0,0.4215,0.0,0.714,0.286
8,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Apple Joins Fellow Tech Giants in Putting a Lid on Hiring,0.0,0.0,0.0,0.0,1.0,0.0
9,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,GM Makes Audacious Prediction in Tesla Rivalry,0.0,0.0,0.2263,0.0,0.759,0.241
10,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla Q  Preview  Can Shares Regain Power ,0.0,0.0,0.296,0.0,0.732,0.268
11,2022-07-18,244.936661,250.516663,239.603333,240.546661,240.546661,82537500,0.0019994237767271272,239.26759984,302.843182905,Tesla is cutting    workers in Fremont,0.9,-0.6,-0.128,0.231,0.769,0.0
